employee_id,age,gender,department,remote_days,tenure_years,manager,training_group,leadership_1,leadership_2,leadership_3,leadership_4_reverse,engagement_1,engagement_2,engagement_3,engagement_4_reverse,role_clarity_1,role_clarity_2,role_clarity_3,role_clarity_4,workload,organizational_support,job_satisfaction,performance,burnout,turnover_intention
E010001,54,Man,Operations,3,3.5,No,Training,2.0,2.0,1.0,4.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,4.0,3.72,6.0,4.86,42.4,39.5,2.44
E010002,22,Woman,Finance,4,1.8,No,Training,2.0,2.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,5.47,3.29,1.96,51.6,56.8,6.16
E010003,31,Non-binary / prefer not to say,HR,3,5.6,No,Control,5.0,4.0,2.0,4.0,3.0,4.0,2.0,4.0,2.0,3.0,1.0,3.0,4.57,3.56,3.79,51.1,52.6,5.15
E010004,36,Man,Technology,4,2.4,No,Control,4.0,2.0,2.0,3.0,5.0,4.0,4.0,2.0,4.0,1.0,4.0,4.0,2.69,3.59,4.07,60.6,45.1,2.31
E010005,37,Woman,Technology,3,12.2,No,Control,5.0,5.0,4.0,1.0,3.0,5.0,4.0,2.0,3.0,2.0,4.0,3.0,4.68,3.86,4.52,62.2,44.9,3.67
E010006,45,Man,Finance,2,1.3,No,Control,2.0,2.0,1.0,2.0,5.0,5.0,5.0,1.0,2.0,3.0,4.0,5.0,1.77,4.91,7.0,55.6,29.3,3.1
E010007,39,Woman,Marketing,0,2.7,No,Training,3.0,2.0,3.0,3.0,5.0,4.0,5.0,1.0,2.0,3.0,2.0,1.0,2.67,3.65,5.9,50.9,30.7,2.83
E010008,38,Woman,Finance,0,1.9,Yes,Control,5.0,4.0,4.0,2.0,4.0,5.0,4.0,2.0,5.0,5.0,4.0,3.0,4.81,4.66,6.34,61.8,43.4,2.55
E010009,32,Woman,Operations,1,2.9,No,Control,5.0,5.0,3.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,3.0,6.35,4.96,2.77,39.1,50.3,3.75
E010010,47,Man,Operations,0,7.2,Yes,Control,2.0,1.0,1.0,5.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,3.52,2.68,2.19,49.1,41.7,4.21
E010011,22,Woman,Finance,2,9.1,Yes,Control,4.0,4.0,1.0,4.0,5.0,4.0,3.0,,3.0,1.0,2.0,2.0,2.64,3.53,4.8,56.3,35.8,3.26
E010012,41,Man,HR,3,1.5,Yes,Training,5.0,4.0,5.0,2.0,4.0,4.0,2.0,3.0,5.0,5.0,5.0,5.0,2.94,4.5,5.09,61.1,28.9,3.4
E010013,50,Non-binary / prefer not to say,Marketing,5,4.3,No,Training,3.0,3.0,1.0,4.0,1.0,2.0,2.0,4.0,2.0,5.0,3.0,3.0,5.07,3.99,,48.8,47.4,4.08
E010014,25,Woman,Finance,4,3.0,Yes,Control,4.0,5.0,3.0,1.0,5.0,3.0,2.0,2.0,5.0,5.0,5.0,5.0,4.96,4.75,4.82,55.9,52.3,4.36
E010015,47,Man,Marketing,3,3.4,No,Control,3.0,3.0,1.0,2.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,2.98,3.68,4.53,52.1,43.5,4.66
E010016,44,Woman,Operations,2,2.6,No,Training,3.0,3.0,3.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,2.0,3.66,4.01,2.06,38.1,42.3,5.4
E010017,46,Man,Operations,4,2.6,No,Control,2.0,2.0,3.0,5.0,3.0,2.0,3.0,2.0,4.0,3.0,1.0,4.0,4.25,4.13,2.73,48.3,49.1,5.0
E010018,42,Man,Technology,0,5.8,No,Training,3.0,1.0,4.0,3.0,1.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,3.62,4.9,3.68,43.7,32.7,4.68
E010019,46,Woman,Finance,1,5.0,No,Control,5.0,4.0,5.0,3.0,3.0,5.0,3.0,3.0,5.0,4.0,3.0,3.0,4.85,4.56,3.53,56.1,54.9,3.72
