employee_id,age,gender,department,remote_days,tenure_years,manager,training_group,leadership_1,leadership_2,leadership_3,leadership_4_reverse,engagement_1,engagement_2,engagement_3,engagement_4_reverse,role_clarity_1,role_clarity_2,role_clarity_3,role_clarity_4,workload,organizational_support,job_satisfaction,performance,burnout,turnover_intention
E000001,37,Man,Operations,3,9.2,No,Training,1.0,1.0,1.0,5.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,3.44,2.5,2.52,45.1,49.8,4.84
E000002,32,Man,Operations,3,7.0,No,Training,3.0,1.0,1.0,5.0,3.0,1.0,1.0,4.0,1.0,3.0,2.0,4.0,4.68,3.92,4.17,43.8,48.5,4.18
E000003,22,Man,Operations,1,0.7,No,Control,5.0,5.0,5.0,1.0,5.0,3.0,4.0,1.0,4.0,3.0,3.0,3.0,4.68,5.09,,52.2,47.4,3.66
E000004,44,Woman,Technology,1,4.2,No,Training,3.0,2.0,3.0,4.0,4.0,5.0,4.0,2.0,4.0,5.0,4.0,3.0,4.09,3.72,4.87,60.3,47.1,4.12
E000005,42,Woman,Operations,3,7.4,No,Control,3.0,4.0,5.0,1.0,5.0,4.0,4.0,2.0,5.0,4.0,4.0,3.0,4.26,3.63,3.17,59.9,51.8,4.62
E000006,41,Woman,Technology,0,1.6,Yes,Control,2.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.25,3.97,5.68,,36.3,2.83
E000007,48,Man,Finance,3,1.6,No,Training,3.0,3.0,4.0,3.0,5.0,5.0,5.0,1.0,3.0,5.0,4.0,5.0,2.79,5.58,4.86,64.3,32.1,3.16
E000008,23,Woman,Technology,0,2.9,Yes,Training,3.0,4.0,2.0,4.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,5.0,4.16,4.25,3.77,48.1,46.6,5.26
E000009,32,Woman,Operations,3,10.0,No,Training,5.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,3.0,4.0,5.0,5.0,3.69,5.18,5.77,66.0,33.8,2.46
E000010,25,Woman,Operations,4,6.3,No,Control,2.0,1.0,2.0,5.0,3.0,2.0,2.0,5.0,3.0,2.0,4.0,3.0,3.88,4.31,3.79,50.0,47.2,4.88
E000011,51,Man,HR,2,4.7,No,Training,4.0,5.0,5.0,2.0,4.0,4.0,5.0,1.0,5.0,5.0,5.0,4.0,5.84,5.16,4.92,58.4,47.9,3.93
E000012,39,Man,Technology,0,2.2,No,Control,5.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,3.0,5.0,2.0,4.0,4.39,5.41,4.71,57.0,44.6,3.02
E000013,37,Woman,Marketing,4,3.6,Yes,Control,1.0,1.0,1.0,3.0,3.0,4.0,4.0,3.0,2.0,1.0,2.0,2.0,4.12,4.17,3.21,,52.9,4.67
E000014,34,Woman,Finance,1,0.4,Yes,Training,2.0,1.0,1.0,4.0,2.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,2.43,3.08,4.52,48.8,35.2,5.02
E000015,46,Woman,Marketing,2,1.3,No,Control,1.0,1.0,2.0,4.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,2.62,4.62,4.67,53.7,31.4,3.86
E000016,24,Woman,Operations,2,6.3,Yes,Training,2.0,2.0,2.0,3.0,5.0,1.0,3.0,2.0,2.0,1.0,2.0,3.0,3.99,2.71,4.28,48.8,42.9,3.64
E000017,54,Man,Marketing,3,4.2,No,Control,1.0,3.0,2.0,4.0,1.0,2.0,2.0,4.0,5.0,4.0,1.0,1.0,3.65,4.86,4.3,44.3,34.6,2.09
E000018,32,Man,Operations,2,3.7,No,Training,2.0,3.0,2.0,4.0,1.0,2.0,1.0,4.0,4.0,5.0,3.0,4.0,4.22,4.05,2.63,51.1,37.6,4.03
E000019,47,Man,HR,2,6.8,No,Control,2.0,2.0,2.0,5.0,3.0,5.0,4.0,2.0,3.0,2.0,2.0,3.0,4.87,4.0,3.72,60.7,54.0,4.69
E000020,24,Man,Operations,3,4.5,No,Training,4.0,3.0,4.0,2.0,4.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,2.85,4.92,4.31,64.8,28.6,3.74
E000021,51,Woman,Operations,2,3.1,No,Control,5.0,5.0,5.0,2.0,4.0,5.0,4.0,1.0,1.0,1.0,2.0,2.0,4.55,5.26,6.21,42.9,37.8,1.82
E000022,44,Man,Marketing,3,4.2,No,Control,4.0,4.0,4.0,2.0,3.0,4.0,3.0,2.0,5.0,5.0,4.0,5.0,5.23,3.06,3.03,40.3,57.7,5.2
E000023,43,Woman,Marketing,3,9.1,No,Control,2.0,1.0,1.0,5.0,1.0,1.0,3.0,4.0,5.0,4.0,4.0,5.0,3.89,3.56,3.95,45.5,51.7,4.8
E000024,48,Man,Operations,3,1.9,No,Training,4.0,4.0,4.0,1.0,5.0,5.0,5.0,1.0,4.0,3.0,4.0,4.0,1.06,4.26,7.0,82.4,28.3,1.65
E000025,36,Woman,Marketing,0,1.8,Yes,Training,5.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,4.0,3.76,5.71,5.71,65.8,32.6,2.43
