guest_id,loyalty_status,prior_stays,stay_nights,occupancy_rate,checkin_hour,special_event,direct_booking,booked_room,total_spend_eur,upgrade
G0001,None,0,4,76.8,16,Yes,No,Standard,347.8,0
G0002,None,2,2,72.4,20,No,No,Standard,272.1,0
G0003,Platinum,14,2,71.5,18,No,Yes,Deluxe,785.8,1
G0004,Silver,4,3,89.2,16,No,No,Deluxe,587.6,0
G0005,Gold,6,3,88.1,18,No,No,Standard,483.6,0
G0006,None,0,4,76.1,14,No,Yes,Standard,477.3,0
G0007,None,0,1,68.7,16,Yes,No,Standard,60.0,0
G0008,Silver,2,3,76.3,19,No,Yes,Deluxe,591.7,1
G0009,Silver,2,5,60.4,16,Yes,Yes,Standard,461.4,1
G0010,Platinum,9,3,68.9,17,No,No,Standard,632.1,0
G0011,Silver,0,3,84.0,19,No,Yes,Standard,312.5,0
G0012,None,0,7,76.6,21,No,Yes,Standard,712.8,0
G0013,None,0,4,66.3,13,No,No,Standard,555.7,1
G0014,Gold,5,3,90.4,20,No,No,Deluxe,730.3,1
G0015,None,0,1,67.2,14,No,Yes,Standard,60.0,0
G0016,Silver,0,6,88.1,16,No,Yes,Standard,507.8,0
G0017,None,0,5,80.0,17,No,No,Standard,516.9,0
G0018,Gold,9,3,72.8,15,Yes,No,Standard,580.0,0
G0019,None,1,1,89.3,17,No,Yes,Standard,72.7,0
G0020,Silver,0,3,100.0,18,No,Yes,Deluxe,542.3,0
G0021,None,1,4,87.5,20,No,Yes,Deluxe,738.1,0
G0022,Platinum,9,3,89.9,20,No,Yes,Standard,592.8,1
G0023,None,0,5,85.0,10,Yes,Yes,Standard,519.0,0
G0024,None,1,3,76.7,14,No,No,Standard,620.9,0
G0025,Silver,2,6,83.4,16,Yes,No,Standard,657.5,1
G0026,None,1,1,69.5,20,No,Yes,Standard,213.6,0
G0027,Gold,2,2,96.0,18,Yes,Yes,Standard,499.7,0
G0028,None,2,2,79.6,19,Yes,No,Standard,346.2,0
G0029,None,2,2,90.7,14,No,Yes,Standard,248.9,1
G0030,Platinum,8,4,97.3,23,Yes,No,Standard,733.4,0
G0031,None,0,3,69.9,19,No,No,Standard,306.2,0
G0032,None,0,4,63.2,20,No,Yes,Standard,475.1,0
