week,date,search_ads_k_eur,social_ads_k_eur,email_ads_k_eur,discount_pct,competitor_price_index,sales_k_eur
1,2023-01-02,38.5,41.0,13.5,7.3,103.2,256.2
2,2023-01-09,42.0,36.4,8.6,5.1,95.0,255.2
3,2023-01-16,55.5,53.8,14.8,10.5,99.6,322.0
4,2023-01-23,31.6,23.4,9.9,10.3,100.1,248.2
5,2023-01-30,48.2,54.7,17.9,5.6,95.7,319.7
6,2023-02-06,48.7,26.6,8.5,6.8,102.7,270.0
7,2023-02-13,48.3,34.4,8.6,9.0,101.7,258.4
8,2023-02-20,48.8,31.1,15.0,4.6,101.0,285.8
9,2023-02-27,46.6,45.5,6.1,5.2,96.6,289.7
10,2023-03-06,40.3,39.7,20.7,11.5,94.0,289.0
11,2023-03-13,53.1,47.8,5.5,7.6,101.3,283.7
12,2023-03-20,49.3,35.5,16.8,5.1,93.6,291.2
13,2023-03-27,43.4,43.6,9.7,3.1,100.8,267.3
14,2023-04-03,37.5,29.1,14.5,7.7,97.8,263.9
15,2023-04-10,53.0,50.1,14.6,10.9,98.3,309.3
16,2023-04-17,28.7,23.7,14.1,10.2,105.6,241.4
17,2023-04-24,47.3,32.5,14.1,2.1,103.9,265.3
18,2023-05-01,38.6,30.3,12.9,5.7,104.3,270.6
19,2023-05-08,22.8,25.7,19.0,7.4,94.9,261.0
20,2023-05-15,34.8,35.6,21.3,4.8,97.1,267.7
21,2023-05-22,47.1,46.6,10.4,4.8,97.5,291.8
22,2023-05-29,32.0,38.6,8.3,2.5,107.5,255.9
23,2023-06-05,39.9,46.2,10.3,8.4,97.3,286.6
24,2023-06-12,35.6,39.7,17.4,7.4,98.2,278.9
25,2023-06-19,51.8,61.7,10.8,9.4,96.4,313.7
26,2023-06-26,41.0,41.1,23.6,10.9,90.1,299.6
27,2023-07-03,25.0,25.6,10.4,9.8,97.4,255.2
28,2023-07-10,43.1,36.9,15.0,12.2,101.3,271.0
29,2023-07-17,46.9,31.5,12.6,8.0,106.0,262.4
30,2023-07-24,51.0,38.0,6.0,9.6,104.5,271.0
31,2023-07-31,45.7,37.4,12.7,7.3,106.3,280.6
32,2023-08-07,40.0,46.6,18.6,12.7,95.3,289.3
33,2023-08-14,39.6,30.8,14.0,7.3,98.2,252.6
34,2023-08-21,44.3,51.2,15.0,8.5,100.6,279.2
35,2023-08-28,39.9,30.0,10.0,10.0,98.2,260.2
36,2023-09-04,57.6,46.1,8.6,9.3,98.6,296.8
37,2023-09-11,47.6,38.7,17.5,12.0,99.1,269.3
38,2023-09-18,28.4,16.6,16.7,7.8,99.7,223.9
39,2023-09-25,52.4,48.1,10.0,11.0,100.0,269.1
40,2023-10-02,48.8,31.9,14.4,3.7,99.6,273.6
41,2023-10-09,45.4,36.7,13.5,11.9,103.0,276.4
42,2023-10-16,30.7,34.0,12.8,6.5,100.2,264.4
43,2023-10-23,39.5,29.1,13.3,13.8,103.2,272.6
44,2023-10-30,48.3,42.6,9.9,8.5,95.7,274.1
45,2023-11-06,46.6,37.7,6.0,6.4,93.6,287.7
46,2023-11-13,30.2,54.5,11.8,9.8,96.5,296.9
