participant_id,group,pre_score,post_score,change_score
T0001,Control,52.2,55.2,3.0
T0002,Control,70.0,77.2,7.2
T0003,Training,61.4,72.0,10.6
T0004,Training,53.6,60.7,7.1
T0005,Training,63.9,72.9,9.0
T0006,Control,64.8,70.1,5.3
T0007,Control,76.3,79.2,2.9
T0008,Training,68.6,76.0,7.4
T0009,Training,54.5,58.1,3.6
T0010,Training,52.7,59.9,7.2
T0011,Control,61.0,57.5,-3.5
T0012,Control,46.9,54.2,7.3
T0013,Control,73.3,76.2,2.9
T0014,Training,49.4,59.7,10.3
T0015,Control,59.5,58.8,-0.7
T0016,Control,42.6,49.8,7.2
T0017,Control,59.0,62.4,3.4
T0018,Training,33.4,41.9,8.5
T0019,Control,65.7,73.6,7.9
T0020,Training,84.7,88.9,4.2
T0021,Control,68.1,71.4,3.3
T0022,Training,48.2,52.7,4.5
T0023,Control,44.1,45.4,1.3
T0024,Control,62.1,71.5,9.4
T0025,Training,55.3,67.5,12.2
T0026,Control,49.8,56.2,6.4
T0027,Training,64.3,73.4,9.1
T0028,Control,60.2,54.3,-5.9
T0029,Control,58.1,56.6,-1.5
T0030,Training,50.0,53.1,3.1
T0031,Control,54.9,54.4,-0.5
T0032,Control,54.5,50.3,-4.2
T0033,Control,65.5,67.8,2.3
T0034,Training,52.3,61.7,9.4
T0035,Control,58.1,63.0,4.9
T0036,Control,72.6,76.7,4.1
T0037,Training,68.5,82.9,14.4
T0038,Training,54.1,60.0,5.9
T0039,Control,48.2,48.3,0.1
T0040,Control,49.2,52.0,2.8
T0041,Control,67.0,65.7,-1.3
T0042,Control,57.2,55.7,-1.5
T0043,Training,54.8,67.4,12.6
T0044,Control,60.8,66.2,5.4
T0045,Training,53.2,64.0,10.8
T0046,Control,77.2,83.3,6.1
T0047,Control,74.6,69.4,-5.2
T0048,Training,75.2,80.6,5.4
T0049,Control,81.6,83.9,2.3
T0050,Control,65.5,69.2,3.7
T0051,Control,69.1,74.9,5.8
T0052,Training,64.9,69.7,4.8
T0053,Training,63.7,66.8,3.1
T0054,Training,57.1,62.3,5.2
T0055,Training,66.1,69.2,3.1
T0056,Training,69.4,77.7,8.3
T0057,Control,67.5,67.9,0.4
T0058,Training,77.0,82.4,5.4
T0059,Training,73.1,86.3,13.2
T0060,Training,46.6,50.6,4.0
T0061,Training,48.6,58.7,10.1
T0062,Training,57.9,59.0,1.1
